locus_tag,gene_name,logFC,Pvalue,q.value
P_00114,osmW,-0.096178685,0.698542251,0.917636962
P_01130,,0.424104429,0.116641259,0.44420383
P_01131,resA_1,-0.271438744,0.269563717,0.651914769
P_01132,yfgD,0.014075232,0.96080322,0.986150048
P_01133,,0.055136521,0.820776009,0.955510056
P_01134,,0.503927521,0.107057688,
P_01135,,-0.391292608,0.636362894,
P_01136,cmpR_1,-0.280433116,0.361029654,
P_01137,cfiB,-0.233141828,0.292195715,0.676177817
P_01138,cfiA,-0.286685582,0.191292291,0.559410322
P_01139,,-0.118646662,0.721738744,
P_00115,osmX,0.122062732,0.599453433,0.875466342
P_01140,,-0.223357822,0.380991279,0.753708912
P_01141,,-0.325154791,0.232626087,0.606744716
P_01142,,0.436218958,0.436814734,
P_01143,artQ_3,0.316988521,0.29175804,
P_01144,fliY_2,0.054626851,0.813609581,0.954536593
P_01145,mmuM,0.18122087,0.434562746,0.790064991
P_01146,,0.59523315,0.035777605,0.230395436
P_01147,phnO,0.705054598,0.010113483,0.108235269
P_01148,paiB,0.597444474,0.02625392,0.191895088
P_01149,gabR_1,-0.154876051,0.545555347,0.845608645
P_00116,osmY_1,0.155442187,0.508974834,0.829029116
P_01150,,-0.18297508,0.476894637,0.818349356
P_01151,spuD_1,0.127628487,0.744596136,
P_01152,aphA_1,0.518276503,0.182255772,
P_01153,,0.407434158,0.463372725,
P_01154,,0.027434179,0.911565319,0.972770419
P_01155,ansA,-0.014574904,0.952747063,0.984352242
P_01156,alsT,0.543024885,0.018280119,0.155173279
P_01157,aspA,0.819790493,0.001005395,0.024543455
P_01158,yjiE,-0.053225458,0.830778736,0.95592068
P_01159,purE,0.369434981,0.100521277,0.4167003
P_00117,prfC,0.563729241,0.014115942,0.131478908
P_01160,purK,0.342292878,0.130911329,0.467659413
P_01161,,-0.490071308,0.042062591,0.258820059
P_01162,,0.211794772,0.38972635,0.762907713
P_01163,yeaD_1,0.16341799,0.470604366,0.814695306
P_01164,,0.034317348,0.883997327,0.966633691
P_01165,proP_2,-0.224517948,0.374030094,0.747859959
P_01166,pstS_1,-0.501066377,0.040390457,0.251850344
P_01167,,-0.150501404,0.613282021,0.882357441
P_01168,,-0.227743718,0.413051663,0.777632094
P_01169,pstB,-0.148506593,0.582779657,0.865479928
P_00118,,-0.501445134,0.178524617,
P_01170,phoU,-0.445261925,0.128807972,0.464380091
P_01171,cheB_1,-0.096533613,0.689224472,0.912532224
P_01172,,0.396479406,0.135978016,0.474209048
P_01173,phoR,-0.065714765,0.813780042,0.954536593
P_01174,phoB,-0.431170365,0.106657091,0.427307316
P_01175,,-0.468282743,0.0557834,0.30195797
P_01176,ubiA,0.220349406,0.394528876,0.764969232
P_01177,ubiC,0.259734346,0.335238326,0.717955932
P_01178,rubA1,-0.251765398,0.525036353,
P_01179,alkT,-0.096604008,0.675428973,0.905826648
P_00119,pfeA_1,-0.407890258,0.235509255,
P_01180,hupB_2,-0.460914707,0.075780446,0.36312485
P_01181,,0.093036557,0.840008746,
P_01182,,0.207784598,0.574263943,
P_01183,rhsA,0.240540151,0.361082621,0.736201854
P_01184,,0.370827678,0.514268304,
P_01185,vgrG1_1,0.504164974,0.077465972,0.36622532
P_01186,clpV1,0.12570426,0.644887183,0.895077528
P_01187,,0.346142291,0.424286121,
P_01188,,0.170933249,0.628172742,
P_01189,,0.434903891,0.472246789,
P_00120,ddpF,-0.304874158,0.244792358,0.623649654
P_01190,hcp1,-0.052554065,0.857773248,
P_01191,,-0.087693171,0.756271555,0.937540765
P_01192,,-0.047467435,0.879143946,
P_01193,,0.304011577,0.23705549,0.613159456
P_01194,,0.011370289,0.963841122,0.987639668
P_01195,,-0.460628195,0.399372849,
P_01196,,-0.790761966,0.021678949,
P_01197,,-0.556872623,0.190115351,
P_01198,,0.335037847,0.225668759,0.599242041
P_01199,,0.39819283,0.339503737,
P_00121,dppD,-0.291766752,0.276811306,0.657696402
P_01200,prpC_1,0.331849957,0.359326128,
P_01201,pknD_1,0.319679362,0.211405553,0.582370712
P_01202,yknY_1,0.442020846,0.273263588,
P_01203,,0.593688651,0.024599906,0.18412956
P_01204,,0.26682603,0.350910764,0.728578193
P_01205,,0.504671571,0.028275234,0.201158097
P_01206,,-0.035874248,0.898673209,0.970099548
P_01207,,-0.046240808,0.842135831,0.95787105
P_01208,recG,-0.177980959,0.448496116,0.799083988
P_01209,oxyR_1,-0.181678041,0.436643915,0.792066548
P_00012,,-0.052611718,0.861375448,
P_00122,dppC,-0.058584456,0.826665144,0.95592068
P_01210,,0.333758782,0.205876476,0.579634089
P_01211,exbD_2,0.038779516,0.899509292,
P_01212,,0.036042661,0.882918096,0.966633691
P_01213,,-0.333281213,0.184230317,0.550857117
P_01214,tauD_2,0.130412791,0.570013701,0.857579262
P_01215,nodD2_1,-0.448076786,0.075880631,0.36312485
P_01216,emrY,0.010717241,0.975910891,
P_01217,emrA_1,-0.107589417,0.729117921,
P_01218,srpC_1,-0.039621724,0.920224623,
P_01219,fecI_2,0.097550881,0.806129811,
P_00123,dppB,-0.005726278,0.98237412,0.992740081
P_01220,fecR_2,-0.019713685,0.952404361,
P_01221,fhuA_2,0.143853552,0.590447841,0.868921469
P_01222,,-0.254450309,0.423081098,
P_01223,,-0.207540349,0.517097055,
P_01224,,0.069244304,0.878003054,
P_01225,,0.233609609,0.350887369,0.728578193
P_01226,,0.044636109,0.856820512,0.959292568
P_01227,,-0.976148989,0.148700715,
P_01228,,0.00500328,0.989544099,
P_01229,slyA_2,-0.237853484,0.376587433,0.748963824
P_00124,dppA_1,0.208612031,0.459618434,0.802663204
P_01230,aaeB_2,0.234993946,0.345912027,0.72602519
P_01231,aaeX_1,0.787331653,0.157915976,
P_01232,aaeA_1,0.495748417,0.047849694,0.274529352
P_01233,oprM_2,0.589508583,0.017762396,0.152987891
P_01234,,0.02893083,0.909515439,0.97216211
P_01235,ydgA,-0.290429741,0.190053617,0.558937211
P_01236,pgaA,-0.469334035,0.034677733,0.22564692
P_01237,pgaB,0.002946921,0.989805709,0.995402349
P_01238,pgaC,0.055247936,0.81906514,0.955510056
P_01239,pgaD,-0.081229332,0.778768747,0.943048187
P_00125,oprD_1,0.018118453,0.954973235,
P_01240,,1.014742449,3.20174E-05,0.00225632
P_01241,,0.144846514,0.572005095,0.859042634
P_01242,,-0.07487312,0.886707832,
P_01243,,-0.373795994,0.691788498,
P_01244,,-0.036151052,0.960223673,
P_01245,,-0.142216679,0.620742563,0.883146147
P_01246,,-0.35337488,0.191831748,0.559410322
P_01247,,-0.088598826,0.771362229,
P_01248,,0.144958089,0.619017939,
P_01249,,-0.22419082,0.640231008,
P_00126,dppA_2,-0.47164222,0.062351416,0.321428373
P_01250,,-0.265002504,0.429805948,
P_01251,,-0.222802058,0.445039757,0.797229492
P_01252,rpoE_1,0.0045036,0.989349023,
P_01253,,-0.557045199,0.110249368,
P_01254,rhtC_2,0.054085056,0.895459955,
P_01255,fcl,-0.418495796,0.289787993,
P_01256,argP_2,-0.063225166,0.830849688,
P_01257,,0.042144665,0.880861323,0.966633691
P_01258,,0.117796499,0.763362906,
P_01259,,-0.103461079,0.765621578,
P_00127,dppA_3,-0.357942993,0.118028013,0.446147927
P_01260,,0.502551772,0.122946046,0.45629892
P_01261,,0.147764731,0.723770529,
P_01262,,-0.036983662,0.871817038,0.963757813
P_01263,,-0.241683385,0.429171679,0.785671047
P_01264,,-0.473181182,0.096599891,0.407224146
P_01265,,-0.053268268,0.85304318,0.959292568
P_01266,,-0.170803648,0.717973012,
P_01267,,-0.47057288,0.2293291,
P_01268,,-0.395506814,0.375883196,
P_01269,,-0.153170914,0.765628714,
P_00128,dppA_4,-0.512302697,0.042464269,0.259174987
P_01270,,0.259242166,0.758712175,
P_01271,,0.04117429,0.893033056,
P_01272,traC_3,-0.827099425,0.175772067,
P_01273,,0.265342733,0.908751903,
P_01274,,-1.466320035,0.333485097,
P_01275,,-0.41733106,0.427683035,
P_01276,,-0.286293217,0.582339083,
P_01277,,-0.715255469,0.333905417,
P_01278,,0.039851835,0.970197938,
P_01279,,-0.265540631,0.68391308,
P_00129,,0.114494924,0.665638016,0.903667626
P_01280,,0.063249667,0.814195093,0.954536593
P_01281,intS_1,-0.206939004,0.372929516,0.747859959
P_01283,,-0.324084816,0.517920497,
P_01284,,0.122685617,0.792174454,
P_01285,,-0.327776002,0.526546722,
P_01286,,-0.391490818,0.22712781,
P_01287,,-0.104063344,0.704680156,0.918987564
P_01288,,0.268485817,0.383750219,
P_01289,,0.065299905,0.822067424,0.955510056
P_01290,,0.023843466,0.939412064,0.979927199
P_00130,,-0.221169803,0.351546649,0.728578193
P_01291,davD,-0.465610592,0.031884207,0.214959413
P_01292,davT_2,-0.559474966,0.01150495,0.117087166
P_01293,rssB_3,-0.177092387,0.45732667,0.800882416
P_01294,,0.322927862,0.195109825,0.563164758
P_01295,,0.213136555,0.351524228,0.728578193
P_01296,,0.150392488,0.562996508,0.855620664
P_01297,,-0.305438991,0.231902983,0.606128509
P_01298,sbp_1,-0.207928626,0.364013716,0.739310075
P_01299,cysT,-0.288666869,0.220474978,0.59328101
P_01300,cysW_1,-0.161627691,0.513024269,0.829029116
P_00131,regB,0.641188209,0.006814853,0.084563047
P_01301,cysA_1,-0.146555029,0.500136184,0.829029116
P_01302,maeB,-0.307083031,0.167242533,0.522838126
P_01303,,0.459217289,0.093384774,0.401621769
P_01304,rpmE,-0.194008106,0.396312388,0.765766564
P_01305,priA,0.123491047,0.618576961,0.883146147
P_01306,argS,0.100175629,0.655992106,0.901397631
P_01307,ftsN,0.08889792,0.714426098,0.92198932
P_01308,hslV,-0.650491228,0.003007896,0.049371326
P_01309,hslU,-0.700845603,0.001280569,0.028987433
P_01310,,-0.207805615,0.446722645,0.797377652
P_00013,,0.064756928,0.892567231,
P_00132,regA,0.404893652,0.078791946,0.36622532
P_01311,phaC_1,-0.31899045,0.167097945,0.522838126
P_01312,catD_1,-0.19641647,0.535057498,
P_01313,phaC_2,-0.248615401,0.365152809,0.740817893
P_01314,,-0.729903205,0.159774177,
P_01315,,-0.508551297,0.022220595,0.173264971
P_01316,,-0.393926538,0.101528769,0.418554032
P_01317,,-0.13635673,0.621970429,0.883146147
P_01318,ubiE_1,-0.058755387,0.795979426,0.949228339
P_01319,,-0.048766442,0.845181586,0.95787105
P_01320,ubiB,0.328596192,0.160908846,0.515654504
P_00133,bacA,0.063685331,0.777710771,0.943048187
P_01321,hisI,-0.241990061,0.322022576,0.70542011
P_01322,hisE,-0.020961615,0.934408165,0.978545531
P_01323,tatA,-0.051125841,0.831098185,0.95592068
P_01324,tatB,0.114194609,0.698596491,0.917636962
P_01325,tatC,0.319400893,0.202661741,0.577331251
P_01326,,0.338366477,0.246992669,
P_01327,mcpQ_1,-0.279280915,0.229012502,0.602367391
P_01328,mcpQ_2,-0.129970825,0.737694925,
P_01329,glnQ_2,0.137682011,0.720159449,
P_01330,,0.613409196,0.072640887,
P_00134,,-0.069562571,0.763937216,0.939844193
P_01331,fliY_3,0.405076939,0.144708652,0.488499421
P_01332,pheC_1,-0.522788643,0.219386795,
P_01333,opgH,0.095083905,0.669992696,0.904083575
P_01334,mdoG,0.450519895,0.043591604,0.261486345
P_01335,dtd,-0.127307569,0.6426355,0.894456999
P_01336,pip_2,-0.299788149,0.203922329,0.578411434
P_01337,,-0.181204843,0.529476562,0.835245802
P_01338,hutI,-0.278290511,0.296133009,0.678188777
P_01339,proY_1,-0.123861275,0.680319982,0.909332876
P_01340,hutH_1,-0.087965552,0.749056148,0.935074931
P_00135,,-0.208390575,0.450538313,0.799100698
P_01341,hutH_2,-0.147138454,0.584339973,0.866358478
P_01342,opuAA,0.048957893,0.860879437,0.960362394
P_01343,opuAB_1,0.090842042,0.715736589,0.92198932
P_01344,,0.363478979,0.254905806,0.637947874
P_01345,,0.725416508,0.040977208,0.254658687
P_01346,hutU_1,0.247966103,0.482078204,0.82005245
P_01347,ves,-0.025552239,0.92666848,0.976679019
P_01348,yvoA_1,-0.023013085,0.928418656,0.976801037
P_01349,,-0.010913824,0.961178269,0.986211323
P_01350,blc,0.776059894,0.00290169,0.048988558
P_00136,,-0.088211405,0.699467853,0.917636962
P_01351,,0.754218764,0.000894069,0.022632974
P_01352,fbp_1,0.109181417,0.625534074,0.883767267
P_01353,malP,-0.660987711,0.003595596,0.055724271
P_01354,,0.620803876,0.048277719,
P_01355,typA,0.672914954,0.003142723,0.050756061
P_01356,,1.001151799,0.142633621,
P_01357,thiI,0.869772812,0.000196354,0.008001141
P_01358,glnA,-0.591014103,0.015225246,0.137358196
P_01359,,-0.41677604,0.158681706,
P_01360,glnL,-0.490145594,0.049359466,0.280399497
P_00138,cdhR_1,-0.065562514,0.804988212,0.952558679
P_01361,glnG,-0.800400248,0.000586415,0.017111392
P_01362,,0.260041927,0.344609851,0.725136785
P_01363,trmL_1,0.10202392,0.701236597,0.918163191
P_01364,secB,0.028648519,0.900857604,0.970388343
P_01365,grxC,0.078544391,0.76367281,0.939844193
P_01366,yibN,0.089529123,0.709976435,0.92198932
P_01367,gpmI,-0.165540606,0.450659195,0.799100698
P_01368,envC,0.203594787,0.388887551,0.76230392
P_01369,,0.123922275,0.581283943,0.863949005
P_01370,,0.103372044,0.709046195,0.92198932
P_00139,mmgC_1,-0.100799679,0.661342225,0.901482938
P_01371,,-0.21049087,0.466053427,0.810315494
P_01372,hisF,0.316363081,0.219005715,0.591924707
P_01373,hisA,0.332294388,0.156386204,0.508812467
P_01374,,0.483878097,0.090836295,0.395885135
P_01375,hisH,0.395067621,0.08759868,0.386738853
P_01376,hisB,0.1632032,0.476410859,0.818284035
P_01377,,-0.665280397,0.003152719,0.050756061
P_01378,,0.060718362,0.783025956,0.943950481
P_01379,mutY,-0.085735807,0.7148619,0.92198932
P_01380,,-0.006008041,0.984564804,
P_00140,tas,-0.285047763,0.2121042,0.583709108
P_01382,,-0.096646114,0.718061208,0.922347349
P_01383,ydiF,-0.006919104,0.981154436,0.992670454
P_01384,,-0.373699827,0.422918374,
P_01385,,-0.403948938,0.187866607,
P_01386,dmlR_3,0.086992543,0.744004557,0.935074931
P_01387,,0.18756807,0.556291487,
P_01388,,-0.036309446,0.876239524,0.964845113
P_01389,,-0.15205845,0.577099015,0.862185928
P_01390,,-0.175609436,0.526122068,0.83523824
P_01391,,-0.294610995,0.248636325,0.627470726
P_00141,rplM,0.607848948,0.013052234,0.12580819
P_01392,,0.738291021,0.004425075,0.063990867
P_01393,aroC,0.106212223,0.639753356,0.893597152
P_01394,hcaT,-0.069651314,0.799506148,0.951004924
P_01395,mtnD,0.053521005,0.846041324,0.95787105
P_01396,,-0.094571597,0.738702516,0.933866312
P_01397,,-1.237368046,1.93839E-08,5.56913E-06
P_01398,,0.366608201,0.265571929,
P_01399,,-0.257246035,0.290580572,0.674529792
P_01400,,-0.487340096,0.038333464,0.242260888
P_01401,,-0.199812097,0.430493291,0.787410598
P_00142,rpsI,0.569239281,0.02061901,0.166611461
P_01402,,-0.38822732,0.126003483,0.460492179
P_01403,mdoB_1,-0.063330878,0.779748146,0.943048187
P_01404,,-0.994511268,0.006945215,
