locus_tag,gene_name,logFC,Pvalue,q.value
P_04279,ycgL,-0.07628996,0.654537658,0.728681135
P_04280,rnd,0.017964017,0.813228364,0.853909641
P_04281,ubiE_2,0.139364511,0.239915986,0.324505737
P_04282,puuA_2,0.333749982,0.014131802,0.027025128
P_00428,pgrR_1,-0.054635434,0.582404654,0.665688172
P_04283,pheC_2,0.366928086,6.54635E-05,0.000180363
P_04284,cynR_5,-0.135713726,0.28598106,0.375565723
P_04285,cynT_2,0.299215343,0.311863705,0.403014142
P_04286,cynS,0.116354817,0.639562843,0.715487555
P_04287,,0.096676846,0.19097687,0.268105737
P_04288,bmr3,-0.252360811,0.008751756,0.017391388
P_04289,pobA,0.563368275,0.000903651,0.002127176
P_04290,btr,0.711253571,7.04454E-23,6.39693E-22
P_04291,,1.488486422,6.40433E-93,3.01266E-91
P_04292,dmlR_15,0.085505337,0.592420034,0.674048091
P_00429,oprD_2,-0.346040245,2.33647E-06,7.58426E-06
P_04293,,0.834843946,3.8143E-12,1.96855E-11
P_04294,,0.639322282,9.69117E-09,3.8812E-08
P_04295,ynfM_2,-0.129505381,0.332014365,0.42402305
P_04296,benM_2,-0.090235502,0.704410263,0.769434812
P_04297,,-0.369594319,0.164236848,0.235285889
P_04298,fabF_2,-0.313572069,0.076094283,0.120803621
P_04299,fabG_5,-0.338642714,0.154085463,0.222632545
P_04300,,0.065361149,0.713434886,0.777812084
P_04301,,-0.926741375,0.000312459,0.000791702
P_04302,,-0.079814096,0.775614852,0.827216807
P_00430,,0.328382749,0.147811167,0.214485028
P_04303,ubiE_3,0.105535605,0.596760167,0.678285834
P_04304,kmo,-0.182249714,0.181695212,0.256863449
P_04305,,-0.961614378,4.93502E-10,2.18482E-09
P_04306,lolA_1,-0.38568975,0.094363585,0.146010411
P_04307,,-0.281721134,0.317318369,0.408496156
P_04308,hutH_4,-0.663909991,0.001383242,0.003166503
P_04309,,-0.351526181,0.047611534,0.080365468
P_04310,arnC_3,0.412364448,0.007589392,0.015250533
P_04311,acs_1,-0.156237794,0.213846102,0.294519506
P_04312,,-0.730011574,0.006653094,0.013468114
P_00431,fiu,-0.129782434,0.347249687,0.440217794
P_04313,acpP_2,-0.163120424,0.63087348,0.707134032
P_04314,acpP_3,0.177573153,0.240991506,0.325500177
P_04315,,0.362307839,0.009915314,0.0195144
P_04316,,-0.382740835,0.006691943,0.013541982
P_04317,soj_5,0.261813251,0.000255628,0.000654932
P_04318,,-0.558659858,0.035633397,0.062007298
P_04319,trxC,-0.057708044,0.730957075,0.794372615
P_04320,higB_2,1.086698371,3.84384E-22,3.3834E-21
P_04321,higA,0.925783056,5.81638E-13,3.19428E-12
P_04322,,0.40043724,2.95994E-07,1.05053E-06
P_00432,,0.412590543,0.087887164,0.137172813
P_04323,mscK,-0.23230617,0.003815032,0.008082121
P_04324,nhaP2_3,-0.376063495,0.000166854,0.000437448
P_04325,,-0.752485512,0.000880132,0.002073512
P_04326,,-0.035632602,0.832021561,0.867545737
P_04327,,0.375764875,0.204091936,0.283603783
P_04328,dmdC_4,0.908303143,1.34468E-24,1.31244E-23
P_04329,,-0.676741359,4.96957E-15,3.10004E-14
P_04330,,0.033608021,0.756154161,0.81266588
P_04331,cheB_4,-0.884288269,1.24962E-30,1.52912E-29
P_04332,,0.134468521,0.064970857,0.105419211
P_00433,,-0.588754168,0.465363614,0.555992256
P_04333,fliJ,-0.679495974,0.01178072,0.022856509
P_04334,fliI,-0.089923409,0.373490941,0.466884015
P_04335,,0.094104129,0.367777869,0.461350205
P_04336,fliG,0.580385504,5.09548E-15,3.17169E-14
P_04337,fliF,0.517699293,1.88658E-12,9.96051E-12
P_04338,fliE,1.132922924,3.43056E-62,9.89346E-61
P_04339,atoC_3,0.824236247,5.49214E-27,5.84775E-26
P_04340,atoS,0.634278714,2.86344E-16,1.89324E-15
P_04341,norR_5,-0.415656198,9.66228E-10,4.19772E-09
P_04342,,0.321656075,0.005012663,0.010377949
P_00434,aguA,0.161283421,0.07513175,0.119473847
P_04343,fliS,0.300418428,0.001762303,0.003950724
P_04344,fliD,0.582879355,1.55979E-17,1.11339E-16
P_04345,,0.414633609,0.000689467,0.001653511
P_04346,,0.361839311,5.23927E-08,1.98864E-07
P_04347,fabH,0.430165365,3.60191E-09,1.50666E-08
P_04348,,0.171151733,0.024443068,0.044293895
P_04349,,0.195903177,0.00576491,0.011765582
P_04350,,0.229843143,0.003297769,0.007067176
P_04351,flgI,0.319447795,6.60493E-05,0.000181889
P_04352,flgH,0.492883315,4.52378E-09,1.87587E-08
P_00043,,0.481178957,0.00293146,0.006350943
P_00435,argD_3,0.003258993,0.964558599,0.974063312
P_04353,flgG,0.318264744,0.000308788,0.000783089
P_04354,flgF,0.320151196,9.83271E-06,3.00479E-05
P_04355,tyrR_1,0.590396606,1.84046E-12,9.73493E-12
P_04356,phhA,2.177767682,1.9655E-200,2.6233E-198
P_04357,,1.814723703,1.08472E-60,2.97857E-59
P_04358,aspC_2,1.904366426,2.9502E-152,2.4538E-150
P_04359,hexR_2,-0.371874806,0.0006598,0.00158967
P_04360,,-0.75282306,7.17348E-10,3.13785E-09
P_04361,uvrD,-0.75548648,5.71993E-19,4.41812E-18
P_04362,,-0.046618255,0.669989421,0.741432565
P_00436,rffG,-0.20914783,0.009266824,0.018319773
P_04363,,0.367755808,1.82383E-06,5.99483E-06
P_04364,kefB,0.740614617,9.43685E-19,7.17326E-18
P_04365,,0.657516675,1.96509E-07,7.07506E-07
P_04366,pdxY,0.697398557,4.05551E-19,3.1623E-18
P_04367,,0.730077624,1.40065E-18,1.04802E-17
P_04368,yeiR,-1.365492692,4.20734E-77,1.59907E-75
P_04369,,-0.858720873,1.42654E-27,1.56538E-26
P_04370,yciC_2,-0.424146716,4.59033E-07,1.59951E-06
P_04371,dksA_2,-0.109797413,0.244317249,0.329449411
P_04372,,-0.48253536,5.49786E-09,2.25534E-08
P_00437,rffH,-0.040946167,0.581515011,0.664803715
P_04373,amiC_3,0.183623829,0.012962289,0.024938175
P_04374,folE2,-0.208710749,0.210733049,0.290866941
P_04375,znuC_2,-0.694629061,3.77122E-17,2.6394E-16
P_04376,mntB,-1.120106885,8.9103E-41,1.53562E-39
P_04377,hpf_2,-1.126012383,4.96981E-29,5.76197E-28
P_04378,caiE,-1.228990584,4.83723E-27,5.16001E-26
P_04379,pyrC_2,-1.261735811,2.2981E-54,5.38318E-53
P_04380,,0.042475144,0.638349441,0.714408627
P_04381,clsA,-0.390636726,0.000390916,0.00097542
P_04382,ubiG_5,0.331749771,1.32704E-07,4.8355E-07
P_00438,rmlC,-0.514264414,3.33048E-07,1.17478E-06
P_04383,,0.301200325,0.001373944,0.003152765
P_04384,,0.440732947,0.240366597,0.324962049
P_04385,,0.331238522,0.332877739,0.424813285
P_04386,cadA_2,-0.384430176,0.000177187,0.000462847
P_04387,,-0.521028917,0.000105382,0.000282216
P_04388,,-0.293452073,0.025692559,0.046236938
P_04389,,-0.198381533,0.01975591,0.036656697
P_04390,,-0.491550438,3.3766E-05,9.67464E-05
P_04391,,-0.910429658,5.67103E-15,3.51469E-14
P_04392,ycnE,-0.348998281,0.04736398,0.079976822
P_00439,rmlD_1,-0.495987533,8.35987E-09,3.37631E-08
P_04393,,0.294286146,0.018620208,0.034740368
P_04394,,-1.071235058,0.012119858,0.02346689
P_04395,yfdH,-0.174023679,0.624735305,0.702460014
P_04396,yfdG,-0.143205824,0.742208901,0.803837872
P_04397,,0.047457814,0.670946297,0.742205242
P_04398,,0.070353116,0.468878882,0.559903435
P_04399,proY_2,0.727192076,6.24312E-15,3.85676E-14
P_04400,,-0.133349635,0.696649825,0.763199536
P_04401,,-0.304492475,0.355660164,0.448699424
P_04402,,0.536152386,3.77452E-15,2.36743E-14
P_00440,dctB_1,-0.147854355,0.124516552,0.184842342
P_04403,,-0.156888217,0.294197015,0.384513019
P_04404,,-0.202590422,0.758671781,0.814291631
P_04405,,0.076824632,0.827194863,0.864166295
P_04406,,-0.142178037,0.547883115,0.635469118
P_04407,,0.666140943,4.75737E-05,0.000133967
P_04408,,0.434672406,0.039398337,0.068022581
P_04409,yqjI,-0.039043314,0.792577512,0.838452044
P_04410,yqjH,-0.945594604,3.28063E-14,1.94299E-13
P_04411,,-1.154869199,6.36677E-06,1.98258E-05
P_04412,,-0.608422897,0.001067355,0.002490061
P_00441,dctD_1,0.355941263,0.000169392,0.000443494
P_04413,,0.033850031,0.601825839,0.682180228
P_04414,,-0.209325621,0.785158189,0.833333728
P_04415,acs_2,-0.318948445,3.57334E-06,1.1393E-05
P_04416,argT_2,0.345053662,1.25061E-05,3.7775E-05
P_04417,hisQ_2,-0.114983282,0.630968421,0.707134032
P_04418,occM_2,-0.239592288,0.155142952,0.223878653
P_04419,,-0.340387241,0.016056943,0.030412804
P_04420,hisP_2,-0.2728584,0.036439768,0.06331451
P_04421,cdhR_9,0.281038187,0.001531813,0.003471989
P_04422,,-0.099767284,0.315744456,0.406838221
P_00442,,0.272339596,0.097280138,0.149836476
P_04423,aruC,0.490321479,9.61402E-12,4.82298E-11
P_04424,astA,0.473498398,4.89887E-09,2.01828E-08
P_04425,aruG,0.425159793,1.71175E-07,6.21362E-07
P_04426,astD,0.352064844,2.05006E-06,6.69242E-06
P_04427,astB,0.282084409,0.001047111,0.002445815
P_04428,,0.09580577,0.446293241,0.537631593
P_04429,astE,-0.056255463,0.525320348,0.613764959
P_04430,ribH2,0.105892184,0.285817911,0.375442662
P_04431,ltaE_2,0.080604335,0.452899374,0.543422435
P_04432,alaS_2,-0.733991683,3.54872E-21,3.00385E-20
P_00443,cysQ,-0.032428476,0.693680877,0.761483273
P_04433,,-0.596861962,5.10093E-14,2.98717E-13
P_04434,csrA2,1.178744544,8.17068E-39,1.30254E-37
P_04438,,0.223807816,0.02330582,0.042501463
P_04439,,0.62986244,1.65698E-19,1.30804E-18
P_04440,,0.884913596,2.52988E-09,1.0723E-08
P_04441,,1.259168385,8.8032E-11,4.13772E-10
P_04443,,0.548658608,7.0122E-05,0.000192643
P_04444,sadH,0.674222029,0.000237172,0.000609824
P_04445,,0.790293193,8.76594E-12,4.4246E-11
P_04446,dhmA2,0.080576413,0.303780742,0.393988176
P_00444,nudE,0.149935786,0.10339054,0.157934071
P_04447,alkB1,0.583665301,1.11575E-10,5.20172E-10
P_04448,,-0.537154988,0.030077478,0.053391478
P_04449,,-1.201753379,2.93603E-17,2.06241E-16
P_04450,ompP1,-0.156086114,0.156158031,0.22511704
P_04451,fadE_2,0.256788769,0.01146821,0.022295413
P_04452,hcaB_6,0.450667836,0.000652694,0.001575856
P_04453,,0.323642141,0.249314392,0.335007093
P_04454,fadI_2,0.228716512,0.25536846,0.342020909
P_04455,fadD_3,0.149739729,0.407694642,0.500483326
P_04456,,-0.271210926,0.012060429,0.023359704
P_00044,,1.220124483,1.47409E-21,1.26644E-20
P_00445,yrfG,-0.333845501,0.002130956,0.004707296
P_04457,iolG_4,1.00228638,5.67942E-13,3.12205E-12
P_04458,,0.338771068,0.146702145,0.213145218
P_04459,hcf136_2,-0.77551315,1.70283E-13,9.67581E-13
P_04460,,-0.676550029,2.37609E-09,1.0116E-08
P_04461,,0.172758687,0.060217145,0.098823618
P_04462,,0.286650797,0.000804787,0.001912493
P_04463,pgl_2,0.179929035,0.012703909,0.024498567
P_04464,,0.947647135,2.20435E-20,1.8021E-19
P_04465,,-0.744372483,1.53701E-19,1.215E-18
P_04466,,0.400619384,1.29639E-08,5.14164E-08
P_00446,ygaU,0.515641503,6.83897E-15,4.2203E-14
P_04467,rpoE_3,0.134926953,0.137674704,0.201972169
P_04468,,0.398179255,0.000414167,0.001028962
P_04469,,0.204853572,0.021525364,0.039568886
P_04470,,-0.291870212,0.002702475,0.005888194
P_04471,,0.285063211,0.095869287,0.147981129
P_04472,,0.969911436,4.79875E-31,5.92258E-30
P_04473,aqpZ_2,0.807758484,8.03339E-32,1.02681E-30
P_04474,,-0.357103978,0.00024252,0.00062274
P_04475,ppiA,-0.290667098,0.03775713,0.065504283
P_04476,catD_3,0.061493568,0.645435024,0.720562827
P_00447,fdhD,1.064309995,7.98176E-59,2.05414E-57
P_04477,yhaJ,0.455213441,1.24349E-05,3.75796E-05
P_04478,,0.476986255,1.68029E-06,5.55483E-06
P_04479,azoR_2,0.742104256,1.07852E-05,3.27319E-05
P_04480,,-0.075021866,0.693313357,0.761225436
P_04481,,0.374637425,7.0959E-05,0.000194849
P_04482,hcaB_7,0.436135311,4.10855E-05,0.000116554
P_04483,,0.086328028,0.744833754,0.80478637
P_04484,ybdG,-0.246949167,0.054508072,0.090541773
P_04485,rhlE_4,0.568699283,5.91693E-14,3.45445E-13
P_04486,,1.102484159,1.30649E-26,1.37074E-25
P_00448,ydeP,1.042523013,2.48432E-52,5.63539E-51
P_04487,,0.485985179,1.41225E-08,5.5819E-08
P_04488,copA_2,0.155205402,0.145200876,0.211499448
P_04489,copB,0.242531353,0.340643161,0.433126189
P_04490,,0.436113292,1.20651E-07,4.43571E-07
P_04491,,-0.426769363,7.97794E-05,0.000217349
P_04492,,0.734961507,3.1177E-24,2.99206E-23
P_04493,cvfB,0.315944741,4.96951E-05,0.00013953
P_04494,,0.514017375,1.50218E-05,4.48543E-05
P_04495,,0.483770568,9.63781E-05,0.000260289
P_04496,gltR_5,1.24576001,1.90748E-69,6.11565E-68
P_00449,,-0.019081483,0.785168352,0.833333728
P_04497,,1.166718032,2.11579E-67,6.56352E-66
P_04498,,-3.340380877,2.9452E-199,3.7562E-197
P_04499,dltA_3,-3.520864976,0,0
P_04500,,0.265888754,0.119877975,0.178843929
P_04501,,-0.534864714,5.21103E-05,0.000145955
P_04502,mepA_1,-0.661807312,0.000328761,0.000830805
P_04503,kipR,0.336570365,0.010976533,0.02142664
P_04504,btuD_4,0.378304997,0.024958885,0.045114659
P_04505,potB,-0.241976768,0.445309877,0.537010587
P_04506,phnV,0.242699212,0.143236069,0.209168397
P_00450,,0.157666797,0.214934789,0.295735017
P_04507,hcnA,0.837312902,0.02378322,0.043244023
P_04508,hcnB,0.384628981,0.028558134,0.050835959
P_04509,thiO_2,0.204643205,0.125350788,0.185936462
P_04510,,0.142332827,0.222909867,0.305390243
P_04511,,0.558508473,1.66734E-05,4.94515E-05
P_04512,polS,0.40436766,0.013432797,0.025800141
P_04513,rhaS_8,0.103800947,0.458977613,0.549337335
P_04514,tsx,-0.083029539,0.746572862,0.805916838
P_04515,mqnB,-0.325422247,0.046221777,0.078295979
P_04516,,0.890440144,2.94732E-37,4.43954E-36
P_00451,rhlB_1,-0.18161046,0.040121128,0.069083454
P_04517,murR,0.387935393,2.10864E-05,6.17738E-05
P_04518,iolC,0.384235395,0.000864119,0.002039976
P_04519,iolE_2,0.306102313,0.109973368,0.166382621
P_04520,iolB,0.353634319,0.060634794,0.099423737
P_04521,,-0.037784785,0.86375135,0.892683054
P_04522,iolD,0.273076656,0.020695076,0.038164859
P_04523,iolG_5,0.223486242,0.145731864,0.212003844
P_04524,iolW,-0.189825222,0.205090145,0.284784017
P_04525,,0.394797809,0.073047735,0.116677137
P_04526,thpA_2,0.210563155,0.18325817,0.258761497
P_00452,,-0.039360926,0.697017993,0.763199536
P_04527,rbsA_2,0.035597351,0.813289788,0.853909641
P_04528,rbsC_4,0.211268293,0.026874891,0.048090382
P_04529,dksA_3,-0.737684638,3.4818E-06,1.11135E-05
P_04530,,-0.427179475,0.023377685,0.042618976
P_04531,,0.293257359,0.006411472,0.013024934
P_04532,,-0.113058799,0.358721025,0.451865663
P_04533,,0.006682567,0.956246005,0.967371025
P_04534,,-1.521373976,6.21569E-20,4.98907E-19
P_04535,,0.183353537,0.007375844,0.01485262
P_04536,fhuA_5,-1.593812998,5.63452E-70,1.85842E-68
P_00453,,0.508054323,4.61527E-08,1.7576E-07
P_04537,,-1.642826238,1.09958E-25,1.10905E-24
P_04538,,-0.488310305,1.83351E-10,8.41803E-10
P_04539,bepF_2,-0.773384587,9.84586E-07,3.33956E-06
P_04540,oqxB4,-0.694165339,5.32071E-10,2.34889E-09
P_04541,oprM_4,-0.448528698,0.001460209,0.003321497
P_04542,,-0.083823479,0.264199595,0.352062504
P_04543,,-0.085599355,0.405768075,0.499186062
P_04544,dut,-0.172242603,0.248110974,0.333859057
P_04545,coaBC,0.396036112,1.84206E-08,7.24578E-08
P_04546,,0.411587432,0.00026962,0.00068955
P_00454,fic,0.163931773,0.094827614,0.146629382
P_04547,dppA_5,0.291464884,6.13171E-05,0.000169917
P_04548,rpmB,0.519447007,3.1724E-09,1.33088E-08
P_04549,rpmG,0.803387946,5.06082E-11,2.41832E-10
P_04550,,0.91400601,2.09076E-20,1.71413E-19
P_04551,puuC,0.921084369,7.87778E-36,1.15333E-34
P_04552,ycaD_2,0.421625362,0.001088419,0.002534068
P_04553,clsC,-0.127780247,0.236356048,0.320824825
P_04554,gltF_4,0.25900182,0.182313228,0.257581392
P_04555,yraI_3,0.074177451,0.735022736,0.797710946
